1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
386	-0.231380	27.796750	32.209030	0.002732	2.9
387	-0.257504	28.627698	31.669733	0.003417	2.8
388	-0.263269	28.179602	31.958290	0.002586	2.7
389	-0.256790	29.179577	31.321427	0.003203	2.6
390	-0.253509	28.277204	31.894991	0.002381	3.1
391	-0.228486	27.378760	32.487314	0.002775	2.7
392	-0.231444	26.519908	33.074474	0.001809	2.7
393	-0.230400	27.511580	32.398366	0.002987	2.8
394	-0.235843	26.719960	32.935819	0.002033	2.7
395	-0.199759	25.820503	33.568540	0.001654	2.9
396	-0.228035	25.722805	33.638733	0.003379	2.8
397	-0.259324	26.713240	32.940458	0.002144	2.9
398	-0.229278	26.095498	33.372531	0.007260	2.8
399	-0.263643	25.191186	34.025884	0.005580	2.8
400	-0.245899	24.286874	34.705331	0.003100	2.7
401	-0.227052	23.824825	35.063070	0.003514	3.0
402	-0.240851	24.824819	34.297920	0.001718	2.9
403	-0.232531	25.721770	33.639478	0.001970	2.8
404	-0.259600	25.898071	33.513019	0.001497	2.7
405	-0.239914	25.346834	33.911615	0.005273	2.8
406	-0.247339	26.346129	33.195871	0.002349	3.0
407	-0.213746	25.441816	33.842258	0.003239	3.0
408	-0.244311	26.441562	33.129094	0.001246	2.8
409	-0.212725	27.078100	32.690476	0.002377	2.9
410	-0.246432	27.771790	32.225513	0.006009	2.6
411	-0.202094	28.771450	31.578264	0.003489	2.7
412	-0.219241	29.771450	30.956295	0.004866	3.1
413	-0.224342	28.886794	31.505251	0.002055	2.8
414	-0.234846	29.885480	30.886924	0.002650	2.8
415	-0.248843	30.868187	30.301733	0.005203	2.7
416	-0.224634	30.565326	30.479706	0.001560	2.9
417	-0.223416	31.562324	29.901569	0.002462	2.7
418	-0.252901	30.671317	30.417184	0.001335	2.9
419	-0.205629	30.974164	30.239947	0.002998	2.7
420	-0.245903	30.413635	30.569633	0.002525	2.9
421	-0.265305	31.404750	29.991479	0.002754	2.8
422	-0.252002	32.402881	29.430921	0.001634	2.8
423	-0.230012	33.326539	28.930537	0.002619	2.6
424	-0.266400	34.304252	28.419080	0.004767	3.0
425	-0.214429	33.399940	28.891502	0.001886	2.9
426	-0.225153	34.199723	28.472896	0.002823	2.9
427	-0.226421	33.586283	28.792874	0.002175	2.8
428	-0.243513	32.700640	29.267732	0.004800	2.9
429	-0.239626	32.952885	29.130897	0.004379	2.7
430	-0.227907	32.048580	29.627484	0.003833	2.9
431	-0.221642	33.048580	29.079320	0.002410	2.7
432	-0.248016	33.616214	28.777095	0.003762	2.9
433	-0.283511	32.713210	29.260883	0.002561	2.7
434	-0.251017	33.712828	28.726279	0.001097	2.5
435	-0.255128	33.111613	29.045447	0.002390	2.9
436	-0.243641	33.416319	28.882805	0.002604	2.9
437	-0.239025	34.414893	28.362339	0.004849	2.7
438	-0.232741	33.510581	28.832860	0.003177	2.7
439	-0.246027	32.606272	29.319255	0.001792	2.9
440	-0.225463	33.604735	28.783144	0.001646	2.7
441	-0.238411	32.768424	29.230836	0.001976	2.9
442	-0.252713	33.509641	28.833357	0.001626	2.8
443	-0.246453	32.727268	29.253227	0.001314	2.9
444	-0.233911	32.990590	29.110553	0.001998	2.8
445	-0.213784	32.321461	29.475861	0.001597	2.9
446	-0.260023	31.579831	29.891613	0.003712	3.0
447	-0.235594	32.577126	29.335205	0.002227	3.1
448	-0.232966	31.674037	29.838153	0.003863	2.9
449	-0.240413	31.438161	29.972370	0.002839	2.7
450	-0.237637	30.535240	30.497500	0.001914	2.9
451	-0.206879	29.658572	31.025272	0.002862	2.6
452	-0.238391	28.766181	31.581607	0.004711	3.0
453	-0.279396	27.861869	32.166104	0.002779	2.8
454	-0.231867	26.957558	32.772644	0.002678	2.6
455	-0.266054	27.957358	32.103366	0.002729	2.7
456	-0.217223	28.954023	31.462851	0.002941	2.8
457	-0.241832	29.953996	30.845392	0.002524	2.6
458	-0.223011	29.051624	31.401498	0.003918	3.1
459	-0.229711	30.005111	30.814480	0.002200	3.1
460	-0.220923	31.002809	30.223290	0.002616	3.0
461	-0.252909	30.110912	30.750693	0.001709	2.8
462	-0.249314	30.881792	30.293787	0.001710	2.8
463	-0.239046	31.376050	30.007913	0.001175	3.0
464	-0.230936	30.626511	30.443583	0.003081	3.0
465	-0.249236	29.753518	30.967232	0.003279	2.8
466	-0.262466	28.849215	31.529001	0.004284	2.9
467	-0.231118	29.849192	30.908966	0.004342	2.8
468	-0.209336	30.849192	30.312834	0.003790	2.7
469	-0.259810	29.944880	30.850911	0.002415	3.1
470	-0.250159	30.944871	30.257000	0.002553	2.8
471	-0.271382	30.043835	30.791103	0.004789	2.9
472	-0.255094	31.029458	30.207810	0.002120	2.8
473	-0.241845	30.140875	30.732676	0.001865	2.7
474	-0.247456	29.333596	31.225585	0.002996	2.9
475	-0.235523	30.332074	30.618205	0.002435	2.8
476	-0.240597	31.331763	30.033308	0.001896	2.9
477	-0.234225	31.081733	30.177489	0.003127	2.7
478	-0.245467	30.741778	30.375762	0.003000	2.8
479	-0.207072	29.906501	30.874170	0.003095	2.7
480	-0.267995	29.008726	31.428435	0.002693	3.4
481	-0.252646	29.914836	30.869115	0.002353	2.7
482	-0.219394	30.902837	30.281504	0.001890	2.8
483	-0.237313	30.357251	30.603195	0.004540	2.8
484	-0.225319	31.336501	30.030589	0.003552	2.9
485	-0.236304	32.330126	29.471071	0.002972	2.7
486	-0.260681	33.330026	28.928680	0.001390	3.3
487	-0.251306	32.490562	29.382678	0.003182	2.7
488	-0.240260	32.065756	29.617895	0.001814	2.9
489	-0.234072	31.334330	30.031835	0.002387	2.9
490	-0.253351	31.832924	29.748419	0.002632	2.8
491	-0.244631	31.565610	29.899700	0.002996	2.7
492	-0.226080	32.563906	29.342445	0.002415	3.0
493	-0.231098	31.711669	29.816851	0.005632	2.8
494	-0.279068	31.503600	29.935013	0.001675	2.6
495	-0.241216	32.503590	29.375523	0.002337	3.1
496	-0.264077	33.204069	28.995903	0.001772	2.7
497	-0.269573	32.445806	29.407283	0.001668	3.3
498	-0.274458	33.249941	28.971385	0.003438	3.0
499	-0.254721	32.355429	29.457095	0.002277	2.8
